indices,classes,samples,attributes,Sensitivity,Specificity
0,2,250,10,53.85,78.48
1,2,250,20,15.38,94.09
2,2,250,25,38.46,86.08
3,2,250,30,15.38,88.61
4,2,250,40,53.85,85.23
5,2,250,50,23.08,89.45
6,2,250,60,23.08,87.34
7,2,250,70,30.77,81.01
8,2,250,75,23.08,83.97
9,2,250,80,15.38,97.89
10,2,250,90,15.38,87.34
11,2,250,100,15.38,78.9
12,3,250,10,7.69,91.98
13,3,250,20,46.15,78.9
14,3,250,25,46.15,70.89
15,3,250,30,15.38,81.43
16,3,250,40,46.15,72.57
17,3,250,50,0.0,86.92
18,3,250,60,0.0,88.61
19,3,250,70,15.38,80.17
20,3,250,75,38.46,79.75
21,3,250,80,7.69,83.54
22,3,250,90,7.69,86.5
23,3,250,100,7.69,86.5
24,4,250,10,30.77,86.5
25,4,250,20,7.69,92.41
26,4,250,25,30.77,86.5
27,4,250,30,46.15,78.9
28,4,250,40,15.38,79.32
29,4,250,50,23.08,86.08
30,4,250,60,23.08,82.28
31,4,250,70,15.38,87.76
32,4,250,75,0.0,89.45
33,4,250,80,15.38,84.39
34,4,250,90,15.38,86.92
35,4,250,100,15.38,87.76
36,5,250,10,15.38,83.97
37,5,250,20,23.08,86.5
38,5,250,25,46.15,66.67
39,5,250,30,30.77,86.92
40,5,250,40,15.38,89.03
41,5,250,50,23.08,88.19
42,5,250,60,23.08,84.39
43,5,250,70,23.08,87.76
44,5,250,75,30.77,83.54
45,5,250,80,7.69,90.72
46,5,250,90,7.69,89.87
47,5,250,100,0.0,86.08
48,6,250,10,53.85,82.7
49,6,250,20,7.69,75.53
50,6,250,25,38.46,85.23
51,6,250,30,23.08,79.32
52,6,250,40,7.69,78.48
53,6,250,50,7.69,84.39
54,6,250,60,15.38,89.03
55,6,250,70,7.69,88.61
56,6,250,75,23.08,82.28
57,6,250,80,23.08,91.56
58,6,250,90,0.0,86.92
59,6,250,100,15.38,90.3
60,7,250,10,38.46,84.39
61,7,250,20,23.08,80.59
62,7,250,25,7.69,88.61
63,7,250,30,7.69,92.83
64,7,250,40,23.08,83.97
65,7,250,50,7.69,90.72
66,7,250,60,23.08,84.39
67,7,250,70,15.38,85.65
68,7,250,75,15.38,89.87
69,7,250,80,7.69,93.67
70,7,250,90,0.0,89.03
71,7,250,100,15.38,90.72
72,2,500,10,32.0,80.42
73,2,500,20,32.0,90.32
74,2,500,25,16.0,90.95
75,2,500,30,4.0,89.26
76,2,500,40,32.0,82.95
77,2,500,50,16.0,93.68
78,2,500,60,12.0,92.42
79,2,500,70,32.0,87.79
80,2,500,75,16.0,83.58
81,2,500,80,4.0,93.89
82,2,500,90,20.0,94.32
83,2,500,100,0.0,90.74
84,3,500,10,32.0,93.26
85,3,500,20,36.0,78.74
86,3,500,25,40.0,66.95
87,3,500,30,36.0,89.89
88,3,500,40,20.0,73.26
89,3,500,50,20.0,81.05
90,3,500,60,16.0,86.74
91,3,500,70,8.0,84.21
92,3,500,75,36.0,77.68
93,3,500,80,0.0,89.26
94,3,500,90,28.0,82.11
95,3,500,100,12.0,85.47
96,4,500,10,44.0,88.0
97,4,500,20,24.0,87.79
98,4,500,25,40.0,82.53
99,4,500,30,56.0,71.58
100,4,500,40,36.0,81.89
101,4,500,50,20.0,87.37
102,4,500,60,24.0,88.0
103,4,500,70,8.0,85.89
104,4,500,75,12.0,83.16
105,4,500,80,8.0,81.89
106,4,500,90,8.0,79.79
107,4,500,100,20.0,88.0
108,5,500,10,44.0,84.42
109,5,500,20,24.0,84.21
110,5,500,25,44.0,75.37
111,5,500,30,8.0,86.11
112,5,500,40,32.0,83.16
113,5,500,50,20.0,86.53
114,5,500,60,20.0,85.68
115,5,500,70,24.0,84.0
116,5,500,75,16.0,85.05
117,5,500,80,24.0,89.05
118,5,500,90,4.0,89.05
119,5,500,100,4.0,91.37
120,6,500,10,48.0,83.16
121,6,500,20,40.0,74.11
122,6,500,25,32.0,86.74
123,6,500,30,32.0,81.47
124,6,500,40,16.0,82.74
125,6,500,50,28.0,90.32
126,6,500,60,4.0,91.58
127,6,500,70,20.0,90.53
128,6,500,75,8.0,87.79
129,6,500,80,4.0,90.95
130,6,500,90,12.0,90.74
131,6,500,100,24.0,89.47
132,7,500,10,48.0,79.16
133,7,500,20,40.0,71.79
134,7,500,25,16.0,87.16
135,7,500,30,20.0,92.21
136,7,500,40,16.0,86.32
137,7,500,50,24.0,90.11
138,7,500,60,12.0,83.37
139,7,500,70,12.0,88.21
140,7,500,75,12.0,90.53
141,7,500,80,16.0,91.58
142,7,500,90,16.0,93.68
143,7,500,100,8.0,86.53
144,2,1000,10,64.0,77.16
145,2,1000,20,30.0,93.89
146,2,1000,25,24.0,91.79
147,2,1000,30,28.0,88.0
148,2,1000,40,42.0,83.58
149,2,1000,50,10.0,93.58
150,2,1000,60,22.0,93.79
151,2,1000,70,20.0,86.74
152,2,1000,75,30.0,84.32
153,2,1000,80,24.0,94.32
154,2,1000,90,8.0,92.74
155,2,1000,100,20.0,89.58
156,2,1000,125,12.0,94.42
157,2,1000,150,10.0,95.68
158,2,1000,175,2.0,97.37
159,2,1000,200,0.0,98.42
160,2,1000,225,6.0,97.68
161,2,1000,250,0.0,98.21
162,3,1000,10,28.0,92.95
163,3,1000,20,38.0,79.37
164,3,1000,25,38.0,68.84
165,3,1000,30,26.0,82.21
166,3,1000,40,28.0,75.47
167,3,1000,50,14.0,84.11
168,3,1000,60,14.0,89.16
169,3,1000,70,20.0,84.74
170,3,1000,75,20.0,81.68
171,3,1000,80,20.0,88.63
172,3,1000,90,16.0,83.47
173,3,1000,100,14.0,87.47
174,3,1000,125,16.0,87.37
175,3,1000,150,8.0,90.32
176,3,1000,175,4.0,88.32
177,3,1000,200,2.0,92.95
178,3,1000,225,6.0,91.37
179,3,1000,250,2.0,95.26
180,4,1000,10,46.0,88.42
181,4,1000,20,38.0,88.32
182,4,1000,25,30.0,79.79
183,4,1000,30,44.0,72.84
184,4,1000,40,30.0,81.05
185,4,1000,50,26.0,81.26
186,4,1000,60,14.0,86.95
187,4,1000,70,16.0,88.21
188,4,1000,75,26.0,83.26
189,4,1000,80,26.0,83.79
190,4,1000,90,18.0,82.32
191,4,1000,100,12.0,85.68
192,4,1000,125,22.0,87.26
193,4,1000,150,4.0,89.79
194,4,1000,175,8.0,89.26
195,4,1000,200,6.0,91.26
196,4,1000,225,2.0,92.95
197,4,1000,250,6.0,93.58
198,5,1000,10,46.0,85.47
199,5,1000,20,34.0,82.42
200,5,1000,25,52.0,74.32
201,5,1000,30,22.0,81.47
202,5,1000,40,22.0,83.68
203,5,1000,50,20.0,86.11
204,5,1000,60,12.0,87.89
205,5,1000,70,12.0,86.74
206,5,1000,75,32.0,84.95
207,5,1000,80,18.0,88.53
208,5,1000,90,12.0,91.05
209,5,1000,100,12.0,91.47
210,5,1000,125,14.0,86.84
211,5,1000,150,2.0,94.95
212,5,1000,175,4.0,93.58
213,5,1000,200,6.0,91.26
214,5,1000,225,2.0,94.21
215,5,1000,250,2.0,94.0
216,6,1000,10,40.0,84.11
217,6,1000,20,38.0,77.47
218,6,1000,25,36.0,87.68
219,6,1000,30,32.0,78.63
220,6,1000,40,34.0,80.32
221,6,1000,50,14.0,88.21
222,6,1000,60,16.0,91.47
223,6,1000,70,16.0,92.42
224,6,1000,75,22.0,85.26
225,6,1000,80,26.0,90.84
226,6,1000,90,16.0,88.63
227,6,1000,100,12.0,91.05
228,6,1000,125,6.0,92.21
229,6,1000,150,6.0,93.16
230,6,1000,175,4.0,93.79
231,6,1000,200,2.0,95.58
232,6,1000,225,4.0,96.53
233,6,1000,250,6.0,96.95
234,7,1000,10,46.0,80.84
235,7,1000,20,30.0,73.37
236,7,1000,25,16.0,81.58
237,7,1000,30,20.0,89.79
238,7,1000,40,22.0,86.0
239,7,1000,50,16.0,88.42
240,7,1000,60,22.0,85.16
241,7,1000,70,14.0,84.95
242,7,1000,75,12.0,89.47
243,7,1000,80,12.0,92.95
244,7,1000,90,8.0,90.42
245,7,1000,100,6.0,91.79
246,7,1000,125,8.0,92.63
247,7,1000,150,10.0,94.0
248,7,1000,175,2.0,96.21
249,7,1000,200,12.0,95.89
250,7,1000,225,2.0,96.95
251,7,1000,250,4.0,96.95
252,8,1000,10,54.0,77.68
253,8,1000,20,20.0,89.89
254,8,1000,25,26.0,79.58
255,8,1000,30,14.0,85.05
256,8,1000,40,18.0,83.16
257,8,1000,50,20.0,82.63
258,8,1000,60,14.0,90.32
259,8,1000,70,14.0,89.58
260,8,1000,75,16.0,92.11
261,8,1000,80,16.0,89.58
262,8,1000,90,12.0,86.11
263,8,1000,100,6.0,93.05
264,8,1000,125,2.0,94.53
265,8,1000,150,2.0,94.63
266,8,1000,175,4.0,93.26
267,8,1000,200,6.0,95.89
268,8,1000,225,2.0,98.32
269,8,1000,250,4.0,97.79
270,9,1000,10,56.0,75.58
271,9,1000,20,14.0,87.58
272,9,1000,25,40.0,76.32
273,9,1000,30,32.0,85.26
274,9,1000,40,20.0,82.63
275,9,1000,50,18.0,89.37
276,9,1000,60,6.0,86.95
277,9,1000,70,20.0,88.84
278,9,1000,75,6.0,90.42
279,9,1000,80,12.0,92.95
280,9,1000,90,18.0,93.47
281,9,1000,100,10.0,90.32
282,9,1000,125,14.0,90.74
283,9,1000,150,6.0,94.11
284,9,1000,175,2.0,94.84
285,9,1000,200,4.0,95.26
286,9,1000,225,4.0,96.0
287,9,1000,250,0.0,97.68
288,10,1000,10,56.0,77.05
289,10,1000,20,34.0,88.21
290,10,1000,25,38.0,78.95
291,10,1000,30,24.0,80.21
292,10,1000,40,20.0,82.74
293,10,1000,50,22.0,90.11
294,10,1000,60,22.0,84.0
295,10,1000,70,20.0,85.58
296,10,1000,75,14.0,89.68
297,10,1000,80,20.0,90.63
298,10,1000,90,20.0,89.79
299,10,1000,100,24.0,88.32
300,10,1000,125,10.0,92.42
301,10,1000,150,6.0,93.26
302,10,1000,175,8.0,95.16
303,10,1000,200,4.0,96.0
304,10,1000,225,12.0,95.58
305,10,1000,250,4.0,96.0
306,11,1000,10,50.0,77.05
307,11,1000,20,30.0,84.21
308,11,1000,25,42.0,73.68
309,11,1000,30,32.0,83.26
310,11,1000,40,20.0,77.58
311,11,1000,50,20.0,88.32
312,11,1000,60,26.0,86.32
313,11,1000,70,30.0,84.21
314,11,1000,75,20.0,86.32
315,11,1000,80,8.0,88.63
316,11,1000,90,12.0,84.84
317,11,1000,100,20.0,84.95
318,11,1000,125,6.0,91.68
319,11,1000,150,14.0,91.47
320,11,1000,175,6.0,94.32
321,11,1000,200,6.0,94.11
322,11,1000,225,2.0,92.95
323,11,1000,250,2.0,97.37
324,2,2500,10,57.6,79.24
325,2,2500,20,24.0,93.09
326,2,2500,25,16.0,92.0
327,2,2500,30,30.4,88.0
328,2,2500,40,29.6,82.82
329,2,2500,50,12.0,93.6
330,2,2500,60,16.8,90.11
331,2,2500,70,24.8,86.44
332,2,2500,75,24.0,86.48
333,2,2500,80,10.4,94.74
334,2,2500,90,12.0,93.05
335,2,2500,100,25.6,89.94
336,2,2500,125,12.0,94.82
337,2,2500,150,4.0,95.96
338,2,2500,175,4.8,97.56
339,2,2500,200,2.4,98.57
340,2,2500,225,3.2,95.58
341,2,2500,250,4.0,97.26
342,3,2500,10,20.8,92.46
343,3,2500,20,35.2,79.92
344,3,2500,25,41.6,70.48
345,3,2500,30,23.2,87.49
346,3,2500,40,32.0,76.59
347,3,2500,50,20.8,83.58
348,3,2500,60,10.4,89.39
349,3,2500,70,14.4,84.13
350,3,2500,75,28.0,80.13
351,3,2500,80,6.4,87.45
352,3,2500,90,20.8,82.27
353,3,2500,100,16.0,87.03
354,3,2500,125,11.2,86.74
355,3,2500,150,6.4,89.09
356,3,2500,175,14.4,86.82
357,3,2500,200,2.4,90.74
358,3,2500,225,5.6,92.0
359,3,2500,250,1.6,93.77
360,4,2500,10,38.4,87.92
361,4,2500,20,29.6,89.47
362,4,2500,25,32.8,81.52
363,4,2500,30,34.4,74.57
364,4,2500,40,26.4,81.43
365,4,2500,50,31.2,80.97
366,4,2500,60,22.4,85.56
367,4,2500,70,12.0,86.78
368,4,2500,75,31.2,83.66
369,4,2500,80,24.0,81.94
370,4,2500,90,16.0,83.92
371,4,2500,100,14.4,86.74
372,4,2500,125,15.2,88.72
373,4,2500,150,11.2,90.61
374,4,2500,175,7.2,90.44
375,4,2500,200,6.4,92.04
376,4,2500,225,4.0,92.55
377,4,2500,250,2.4,92.63
378,5,2500,10,49.6,85.6
379,5,2500,20,31.2,82.74
380,5,2500,25,41.6,73.14
381,5,2500,30,34.4,84.38
382,5,2500,40,25.6,84.72
383,5,2500,50,19.2,85.43
384,5,2500,60,20.8,85.43
385,5,2500,70,20.0,88.13
386,5,2500,75,19.2,84.29
387,5,2500,80,17.6,88.46
388,5,2500,90,12.8,88.51
389,5,2500,100,15.2,89.73
390,5,2500,125,15.2,88.63
391,5,2500,150,7.2,93.09
392,5,2500,175,8.0,92.59
393,5,2500,200,4.8,91.2
394,5,2500,225,4.0,94.78
395,5,2500,250,6.4,93.26
396,6,2500,10,56.8,80.76
397,6,2500,20,44.0,78.78
398,6,2500,25,24.0,87.07
399,6,2500,30,32.0,79.75
400,6,2500,40,26.4,80.63
401,6,2500,50,16.0,89.6
402,6,2500,60,18.4,89.22
403,6,2500,70,12.0,89.47
404,6,2500,75,14.4,86.19
405,6,2500,80,12.8,88.08
406,6,2500,90,13.6,91.62
407,6,2500,100,11.2,89.05
408,6,2500,125,8.0,92.25
409,6,2500,150,4.8,94.11
410,6,2500,175,3.2,93.09
411,6,2500,200,4.8,94.32
412,6,2500,225,4.8,96.17
413,6,2500,250,2.4,97.6
414,7,2500,10,45.6,80.76
415,7,2500,20,37.6,77.89
416,7,2500,25,27.2,84.8
417,7,2500,30,24.0,89.31
418,7,2500,40,17.6,87.45
419,7,2500,50,18.4,87.03
420,7,2500,60,20.8,85.05
421,7,2500,70,16.8,85.81
422,7,2500,75,12.0,88.38
423,7,2500,80,8.8,92.13
424,7,2500,90,11.2,91.45
425,7,2500,100,16.0,90.57
426,7,2500,125,6.4,92.42
427,7,2500,150,6.4,93.85
428,7,2500,175,5.6,94.11
429,7,2500,200,4.0,96.0
430,7,2500,225,4.0,96.42
431,7,2500,250,4.0,97.01
432,8,2500,10,48.8,78.78
433,8,2500,20,22.4,89.77
434,8,2500,25,36.0,81.6
435,8,2500,30,29.6,87.03
436,8,2500,40,33.6,84.93
437,8,2500,50,21.6,81.77
438,8,2500,60,12.0,89.43
439,8,2500,70,20.0,88.59
440,8,2500,75,14.4,93.05
441,8,2500,80,16.8,89.09
442,8,2500,90,11.2,88.08
443,8,2500,100,8.0,92.84
444,8,2500,125,8.0,92.34
445,8,2500,150,10.4,93.81
446,8,2500,175,8.8,94.95
447,8,2500,200,6.4,95.83
448,8,2500,225,4.0,96.84
449,8,2500,250,1.6,97.43
450,9,2500,10,47.2,78.61
451,9,2500,20,21.6,88.72
452,9,2500,25,37.6,79.83
453,9,2500,30,26.4,85.89
454,9,2500,40,26.4,81.94
455,9,2500,50,15.2,88.42
456,9,2500,60,12.8,88.63
457,9,2500,70,21.6,86.82
458,9,2500,75,22.4,89.18
459,9,2500,80,12.8,92.46
460,9,2500,90,15.2,90.86
461,9,2500,100,16.0,89.85
462,9,2500,125,12.0,91.12
463,9,2500,150,9.6,95.28
464,9,2500,175,4.0,95.92
465,9,2500,200,5.6,95.16
466,9,2500,225,0.8,97.05
467,9,2500,250,2.4,96.97
468,10,2500,10,52.8,75.16
469,10,2500,20,26.4,88.17
470,10,2500,25,40.8,77.35
471,10,2500,30,34.4,82.44
472,10,2500,40,34.4,79.71
473,10,2500,50,17.6,88.29
474,10,2500,60,13.6,87.12
475,10,2500,70,29.6,85.14
476,10,2500,75,13.6,87.54
477,10,2500,80,12.8,89.31
478,10,2500,90,14.4,87.54
479,10,2500,100,18.4,88.84
480,10,2500,125,16.0,92.67
481,10,2500,150,5.6,94.91
482,10,2500,175,5.6,92.97
483,10,2500,200,5.6,94.65
484,10,2500,225,4.0,96.17
485,10,2500,250,3.2,95.79
486,11,2500,10,54.4,73.43
487,11,2500,20,32.0,86.15
488,11,2500,25,36.0,77.68
489,11,2500,30,28.0,81.14
490,11,2500,40,26.4,81.09
491,11,2500,50,21.6,86.36
492,11,2500,60,26.4,85.26
493,11,2500,70,24.8,83.96
494,11,2500,75,23.2,86.27
495,11,2500,80,19.2,89.43
496,11,2500,90,20.0,88.08
497,11,2500,100,14.4,86.86
498,11,2500,125,7.2,92.13
499,11,2500,150,10.4,91.87
500,11,2500,175,8.8,94.27
501,11,2500,200,2.4,94.36
502,11,2500,225,6.4,94.36
503,11,2500,250,3.2,96.88
504,2,5000,10,57.2,79.81
505,2,5000,20,23.6,91.75
506,2,5000,25,26.8,90.42
507,2,5000,30,39.6,87.56
508,2,5000,40,30.8,81.77
509,2,5000,50,18.4,93.6
510,2,5000,60,16.8,90.91
511,2,5000,70,21.6,88.25
512,2,5000,75,19.6,86.42
513,2,5000,80,14.0,94.38
514,2,5000,90,12.0,92.08
515,2,5000,100,17.2,91.24
516,2,5000,125,7.2,93.56
517,2,5000,150,10.4,95.92
518,2,5000,175,3.6,97.54
519,2,5000,200,2.8,98.53
520,2,5000,225,5.2,96.36
521,2,5000,250,6.0,97.75
522,3,5000,10,30.0,93.94
523,3,5000,20,50.4,77.77
524,3,5000,25,51.6,70.11
525,3,5000,30,22.4,85.79
526,3,5000,40,34.4,73.79
527,3,5000,50,22.0,83.6
528,3,5000,60,14.8,89.05
529,3,5000,70,20.4,83.12
530,3,5000,75,25.6,80.15
531,3,5000,80,12.0,86.57
532,3,5000,90,20.8,82.19
533,3,5000,100,12.4,86.04
534,3,5000,125,12.4,84.51
535,3,5000,150,6.4,90.15
536,3,5000,175,9.2,88.99
