indices,classes,samples,attributes,Sensitivity,Specificity
0,2,250,10,0.0,92.83
1,2,250,20,15.38,85.65
2,2,250,25,7.69,83.97
3,2,250,30,0.0,79.75
4,2,250,40,38.46,79.32
5,2,250,50,46.15,68.78
6,2,250,60,30.77,64.98
7,2,250,70,38.46,51.48
8,2,250,75,53.85,56.12
9,2,250,80,46.15,52.74
10,2,250,90,53.85,54.43
11,2,250,100,53.85,45.57
12,3,250,10,0.0,91.14
13,3,250,20,15.38,87.34
14,3,250,25,15.38,78.06
15,3,250,30,15.38,80.17
16,3,250,40,7.69,70.46
17,3,250,50,15.38,64.98
18,3,250,60,46.15,60.76
19,3,250,70,46.15,58.23
20,3,250,75,46.15,54.85
21,3,250,80,46.15,57.38
22,3,250,90,46.15,46.41
23,3,250,100,61.54,41.77
24,4,250,10,0.0,92.41
25,4,250,20,15.38,88.61
26,4,250,25,30.77,85.23
27,4,250,30,23.08,75.95
28,4,250,40,7.69,71.73
29,4,250,50,30.77,62.87
30,4,250,60,53.85,64.14
31,4,250,70,38.46,57.38
32,4,250,75,23.08,54.01
33,4,250,80,53.85,52.74
34,4,250,90,46.15,46.84
35,4,250,100,69.23,43.46
36,5,250,10,46.15,89.45
37,5,250,20,7.69,82.7
38,5,250,25,30.77,83.54
39,5,250,30,7.69,77.22
40,5,250,40,30.77,77.22
41,5,250,50,46.15,77.22
42,5,250,60,53.85,59.49
43,5,250,70,69.23,52.74
44,5,250,75,46.15,54.85
45,5,250,80,38.46,47.68
46,5,250,90,61.54,46.41
47,5,250,100,30.77,46.41
48,6,250,10,0.0,90.72
49,6,250,20,7.69,83.12
50,6,250,25,23.08,86.08
51,6,250,30,23.08,75.53
52,6,250,40,23.08,73.42
53,6,250,50,38.46,66.24
54,6,250,60,46.15,66.67
55,6,250,70,53.85,58.65
56,6,250,75,23.08,59.07
57,6,250,80,38.46,52.74
58,6,250,90,53.85,51.05
59,6,250,100,38.46,54.01
60,7,250,10,7.69,91.98
61,7,250,20,15.38,83.97
62,7,250,25,23.08,83.54
63,7,250,30,23.08,74.68
64,7,250,40,46.15,70.04
65,7,250,50,38.46,67.93
66,7,250,60,53.85,62.45
67,7,250,70,61.54,59.92
68,7,250,75,46.15,54.43
69,7,250,80,53.85,54.43
70,7,250,90,23.08,51.05
71,7,250,100,61.54,44.73
72,2,500,10,12.0,92.63
73,2,500,20,8.0,80.21
74,2,500,25,8.0,84.63
75,2,500,30,16.0,83.79
76,2,500,40,20.0,74.53
77,2,500,50,12.0,71.16
78,2,500,60,36.0,66.95
79,2,500,70,48.0,62.11
80,2,500,75,32.0,62.95
81,2,500,80,48.0,58.32
82,2,500,90,48.0,54.32
83,2,500,100,40.0,46.32
84,3,500,10,16.0,92.63
85,3,500,20,4.0,88.0
86,3,500,25,24.0,87.16
87,3,500,30,12.0,81.68
88,3,500,40,20.0,75.16
89,3,500,50,36.0,66.32
90,3,500,60,32.0,65.05
91,3,500,70,32.0,60.0
92,3,500,75,40.0,58.53
93,3,500,80,44.0,57.89
94,3,500,90,52.0,53.89
95,3,500,100,64.0,46.11
96,4,500,10,16.0,92.42
97,4,500,20,0.0,86.32
98,4,500,25,20.0,82.11
99,4,500,30,8.0,77.05
100,4,500,40,24.0,75.16
101,4,500,50,32.0,69.47
102,4,500,60,36.0,62.53
103,4,500,70,40.0,63.16
104,4,500,75,24.0,60.0
105,4,500,80,44.0,56.63
106,4,500,90,36.0,55.58
107,4,500,100,64.0,45.68
108,5,500,10,8.0,92.63
109,5,500,20,16.0,87.16
110,5,500,25,24.0,78.95
111,5,500,30,16.0,78.95
112,5,500,40,20.0,71.58
113,5,500,50,20.0,69.68
114,5,500,60,28.0,64.63
115,5,500,70,40.0,59.58
116,5,500,75,44.0,58.32
117,5,500,80,40.0,53.26
118,5,500,90,44.0,49.89
119,5,500,100,60.0,49.89
120,6,500,10,12.0,93.68
121,6,500,20,8.0,86.32
122,6,500,25,24.0,82.53
123,6,500,30,20.0,80.84
124,6,500,40,16.0,75.16
125,6,500,50,44.0,65.89
126,6,500,60,36.0,68.42
127,6,500,70,48.0,56.63
128,6,500,75,64.0,56.84
129,6,500,80,44.0,57.05
130,6,500,90,32.0,49.47
131,6,500,100,52.0,46.95
132,7,500,10,4.0,92.63
133,7,500,20,16.0,85.05
134,7,500,25,16.0,85.47
135,7,500,30,12.0,75.79
136,7,500,40,24.0,76.0
137,7,500,50,36.0,71.37
138,7,500,60,40.0,61.68
139,7,500,70,52.0,61.47
140,7,500,75,60.0,58.11
141,7,500,80,52.0,53.68
142,7,500,90,40.0,52.63
143,7,500,100,48.0,45.26
144,2,1000,10,6.0,94.74
145,2,1000,20,12.0,86.21
146,2,1000,25,24.0,83.26
147,2,1000,30,14.0,82.0
148,2,1000,40,24.0,76.74
149,2,1000,50,20.0,74.74
150,2,1000,60,34.0,65.47
151,2,1000,70,36.0,62.32
152,2,1000,75,38.0,60.32
153,2,1000,80,46.0,58.21
154,2,1000,90,40.0,55.37
155,2,1000,100,62.0,48.84
156,2,1000,125,60.0,43.89
157,2,1000,150,64.0,38.11
158,2,1000,175,58.0,31.68
159,2,1000,200,70.0,28.95
160,2,1000,225,82.0,22.53
161,2,1000,250,82.0,21.26
162,3,1000,10,4.0,94.95
163,3,1000,20,14.0,87.47
164,3,1000,25,20.0,82.84
165,3,1000,30,14.0,81.68
166,3,1000,40,28.0,74.84
167,3,1000,50,34.0,70.53
168,3,1000,60,38.0,65.79
169,3,1000,70,40.0,61.26
170,3,1000,75,36.0,59.16
171,3,1000,80,42.0,58.95
172,3,1000,90,44.0,54.0
173,3,1000,100,50.0,50.32
174,3,1000,125,54.0,46.63
175,3,1000,150,60.0,35.79
176,3,1000,175,60.0,33.05
177,3,1000,200,70.0,27.05
178,3,1000,225,80.0,25.79
179,3,1000,250,68.0,17.79
180,4,1000,10,2.0,92.11
181,4,1000,20,16.0,86.42
182,4,1000,25,14.0,84.11
183,4,1000,30,26.0,80.11
184,4,1000,40,28.0,70.32
185,4,1000,50,30.0,70.32
186,4,1000,60,38.0,67.68
187,4,1000,70,40.0,61.26
188,4,1000,75,38.0,57.68
189,4,1000,80,46.0,57.58
190,4,1000,90,38.0,52.74
191,4,1000,100,54.0,51.16
192,4,1000,125,70.0,43.68
193,4,1000,150,60.0,35.26
194,4,1000,175,58.0,31.79
195,4,1000,200,74.0,27.37
196,4,1000,225,88.0,21.89
197,4,1000,250,84.0,19.47
198,5,1000,10,10.0,92.63
199,5,1000,20,20.0,85.37
200,5,1000,25,4.0,82.11
201,5,1000,30,18.0,83.37
202,5,1000,40,22.0,74.0
203,5,1000,50,32.0,72.32
204,5,1000,60,38.0,63.47
205,5,1000,70,38.0,62.84
206,5,1000,75,36.0,58.63
207,5,1000,80,46.0,57.16
208,5,1000,90,34.0,54.0
209,5,1000,100,66.0,49.26
210,5,1000,125,52.0,41.79
211,5,1000,150,66.0,34.53
212,5,1000,175,72.0,31.47
213,5,1000,200,88.0,27.68
214,5,1000,225,72.0,21.79
215,5,1000,250,88.0,21.37
216,6,1000,10,4.0,90.53
217,6,1000,20,24.0,84.74
218,6,1000,25,16.0,83.89
219,6,1000,30,14.0,78.42
220,6,1000,40,24.0,72.74
221,6,1000,50,32.0,72.21
222,6,1000,60,26.0,67.68
223,6,1000,70,38.0,58.74
224,6,1000,75,44.0,61.05
225,6,1000,80,44.0,56.84
226,6,1000,90,38.0,57.37
227,6,1000,100,54.0,51.26
228,6,1000,125,62.0,43.68
229,6,1000,150,60.0,34.32
230,6,1000,175,70.0,30.21
231,6,1000,200,78.0,25.68
232,6,1000,225,82.0,23.89
233,6,1000,250,80.0,17.89
234,7,1000,10,12.0,92.95
235,7,1000,20,20.0,86.53
236,7,1000,25,12.0,84.42
237,7,1000,30,18.0,75.79
238,7,1000,40,30.0,78.0
239,7,1000,50,26.0,70.95
240,7,1000,60,26.0,63.37
241,7,1000,70,42.0,58.74
242,7,1000,75,52.0,56.63
243,7,1000,80,38.0,58.74
244,7,1000,90,38.0,54.53
245,7,1000,100,66.0,48.63
246,7,1000,125,58.0,43.05
247,7,1000,150,82.0,35.58
248,7,1000,175,68.0,27.68
249,7,1000,200,74.0,27.16
250,7,1000,225,76.0,21.89
251,7,1000,250,82.0,19.68
252,8,1000,10,6.0,93.26
253,8,1000,20,12.0,86.42
254,8,1000,25,10.0,84.32
255,8,1000,30,28.0,80.84
256,8,1000,40,22.0,74.11
257,8,1000,50,46.0,69.68
258,8,1000,60,34.0,65.68
259,8,1000,70,36.0,61.16
260,8,1000,75,40.0,57.89
261,8,1000,80,44.0,58.63
262,8,1000,90,48.0,51.89
263,8,1000,100,58.0,48.74
264,8,1000,125,62.0,43.05
265,8,1000,150,56.0,36.53
266,8,1000,175,72.0,29.79
267,8,1000,200,78.0,25.37
268,8,1000,225,86.0,21.47
269,8,1000,250,82.0,18.53
270,9,1000,10,10.0,91.79
271,9,1000,20,8.0,85.58
272,9,1000,25,16.0,84.11
273,9,1000,30,18.0,80.63
274,9,1000,40,44.0,72.53
275,9,1000,50,22.0,72.63
276,9,1000,60,32.0,66.21
277,9,1000,70,30.0,61.16
278,9,1000,75,44.0,60.63
279,9,1000,80,44.0,58.32
280,9,1000,90,56.0,53.79
281,9,1000,100,54.0,54.84
282,9,1000,125,70.0,39.16
283,9,1000,150,60.0,36.42
284,9,1000,175,62.0,32.21
285,9,1000,200,74.0,25.16
286,9,1000,225,70.0,22.32
287,9,1000,250,74.0,18.95
288,10,1000,10,14.0,92.32
289,10,1000,20,16.0,88.42
290,10,1000,25,20.0,82.11
291,10,1000,30,20.0,81.26
292,10,1000,40,30.0,76.74
293,10,1000,50,38.0,70.95
294,10,1000,60,34.0,68.0
295,10,1000,70,32.0,58.84
296,10,1000,75,38.0,59.47
297,10,1000,80,44.0,59.47
298,10,1000,90,46.0,54.84
299,10,1000,100,60.0,46.95
300,10,1000,125,62.0,42.32
301,10,1000,150,68.0,38.63
302,10,1000,175,68.0,31.89
303,10,1000,200,58.0,25.68
304,10,1000,225,76.0,21.89
305,10,1000,250,74.0,18.21
306,11,1000,10,16.0,91.79
307,11,1000,20,16.0,85.47
308,11,1000,25,14.0,80.11
309,11,1000,30,14.0,78.0
310,11,1000,40,36.0,75.26
311,11,1000,50,34.0,70.42
312,11,1000,60,36.0,67.58
313,11,1000,70,32.0,63.68
314,11,1000,75,42.0,62.53
315,11,1000,80,48.0,59.47
316,11,1000,90,34.0,53.16
317,11,1000,100,48.0,50.53
318,11,1000,125,64.0,41.26
319,11,1000,150,70.0,35.37
320,11,1000,175,64.0,31.05
321,11,1000,200,78.0,24.42
322,11,1000,225,86.0,23.47
323,11,1000,250,74.0,22.11
324,2,2500,10,8.0,89.43
325,2,2500,20,12.0,87.62
326,2,2500,25,19.2,83.87
327,2,2500,30,20.0,80.72
328,2,2500,40,29.6,76.8
329,2,2500,50,25.6,71.24
330,2,2500,60,32.0,67.83
331,2,2500,70,32.8,65.05
332,2,2500,75,33.6,61.35
333,2,2500,80,39.2,59.37
334,2,2500,90,36.0,57.18
335,2,2500,100,43.2,51.07
336,2,2500,125,65.6,44.93
337,2,2500,150,65.6,37.85
338,2,2500,175,70.4,33.05
339,2,2500,200,69.6,26.06
340,2,2500,225,76.8,23.71
341,2,2500,250,80.8,19.83
342,3,2500,10,6.4,89.56
343,3,2500,20,11.2,86.11
344,3,2500,25,12.0,84.25
345,3,2500,30,20.0,79.58
346,3,2500,40,23.2,75.71
347,3,2500,50,28.8,71.07
348,3,2500,60,30.4,68.51
349,3,2500,70,39.2,60.25
350,3,2500,75,41.6,61.43
351,3,2500,80,37.6,60.13
352,3,2500,90,49.6,55.37
353,3,2500,100,52.8,51.49
354,3,2500,125,55.2,43.37
355,3,2500,150,60.0,36.8
356,3,2500,175,59.2,31.33
357,3,2500,200,74.4,25.6
358,3,2500,225,76.8,22.32
359,3,2500,250,82.4,20.25
360,4,2500,10,9.6,93.31
361,4,2500,20,13.6,83.33
362,4,2500,25,9.6,82.57
363,4,2500,30,25.6,81.6
364,4,2500,40,24.8,75.71
365,4,2500,50,29.6,71.54
366,4,2500,60,28.0,66.02
367,4,2500,70,44.8,63.54
368,4,2500,75,36.8,61.39
369,4,2500,80,38.4,58.36
370,4,2500,90,46.4,55.03
371,4,2500,100,50.4,53.01
372,4,2500,125,52.8,44.8
373,4,2500,150,58.4,34.61
374,4,2500,175,69.6,30.44
375,4,2500,200,65.6,27.62
376,4,2500,225,76.0,22.23
377,4,2500,250,86.4,19.41
378,5,2500,10,8.0,92.84
379,5,2500,20,10.4,85.68
380,5,2500,25,12.8,83.58
381,5,2500,30,20.0,78.95
382,5,2500,40,30.4,76.13
383,5,2500,50,31.2,70.48
384,5,2500,60,25.6,67.16
385,5,2500,70,32.8,62.99
386,5,2500,75,36.8,60.72
387,5,2500,80,44.8,56.8
388,5,2500,90,48.8,53.73
389,5,2500,100,41.6,52.63
390,5,2500,125,55.2,42.02
391,5,2500,150,56.8,38.02
392,5,2500,175,61.6,33.05
393,5,2500,200,68.0,27.28
394,5,2500,225,76.0,22.74
395,5,2500,250,79.2,18.53
396,6,2500,10,7.2,92.04
397,6,2500,20,12.0,85.94
398,6,2500,25,15.2,83.75
399,6,2500,30,16.0,81.98
400,6,2500,40,31.2,73.98
401,6,2500,50,32.8,71.41
402,6,2500,60,36.0,66.06
403,6,2500,70,37.6,62.65
404,6,2500,75,40.0,59.49
405,6,2500,80,50.4,57.89
406,6,2500,90,44.0,54.48
407,6,2500,100,52.8,51.75
408,6,2500,125,53.6,45.68
409,6,2500,150,57.6,36.84
410,6,2500,175,76.0,32.29
411,6,2500,200,72.0,28.84
412,6,2500,225,80.0,22.02
413,6,2500,250,79.2,20.25
414,7,2500,10,6.4,91.66
415,7,2500,20,9.6,86.11
416,7,2500,25,19.2,83.28
417,7,2500,30,22.4,80.51
418,7,2500,40,24.8,74.95
419,7,2500,50,26.4,70.82
420,7,2500,60,30.4,65.43
421,7,2500,70,41.6,61.6
422,7,2500,75,40.0,59.54
