samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
375,10,2,0.256843,77,10,67,289,9,12.99,96.98,52.63,81.18
375,20,2,0.448531,25,6,19,337,13,24.00,96.29,31.58,94.66
375,30,2,0.585841,50,7,43,313,12,14.00,96.31,36.84,87.92
375,40,2,0.887056,90,8,82,274,11,8.89,96.14,42.11,76.97
375,50,2,1.093674,19,1,18,338,18,5.26,94.94,5.26,94.94
375,10,3,0.152644,33,5,28,328,14,15.15,95.91,26.32,92.13
375,20,3,0.284207,82,9,73,283,10,10.98,96.59,47.37,79.49
375,30,3,0.498925,52,5,47,309,14,9.62,95.67,26.32,86.80
375,40,3,0.660029,48,5,43,313,14,10.42,95.72,26.32,87.92
375,50,3,0.738889,28,2,26,330,17,7.14,95.10,10.53,92.70
375,10,4,0.111783,48,5,43,313,14,10.42,95.72,26.32,87.92
375,20,4,0.222597,46,4,42,314,15,8.70,95.44,21.05,88.20
375,30,4,0.366115,37,4,33,323,15,10.81,95.56,21.05,90.73
375,40,4,0.543500,21,2,19,337,17,9.52,95.20,10.53,94.66
375,50,4,0.657095,50,3,47,309,16,6.00,95.08,15.79,86.80
375,10,5,0.091863,48,5,43,313,14,10.42,95.72,26.32,87.92
375,20,5,0.183370,62,7,55,301,12,11.29,96.17,36.84,84.55
375,30,5,0.325251,54,2,52,304,17,3.70,94.70,10.53,85.39
375,40,5,0.454654,39,5,34,322,14,12.82,95.83,26.32,90.45
375,50,5,0.555329,44,3,41,315,16,6.82,95.17,15.79,88.48
1250,10,2,2.309674,254,30,224,963,33,11.81,96.69,47.62,81.13
1250,20,2,4.387707,89,8,81,1106,55,8.99,95.26,12.70,93.18
1250,30,2,6.940187,135,13,122,1065,50,9.63,95.52,20.63,89.72
1250,40,2,9.212788,204,18,186,1001,45,8.82,95.70,28.57,84.33
1250,50,2,10.934088,80,8,72,1115,55,10.00,95.30,12.70,93.93
1250,60,2,13.682620,149,15,134,1053,48,10.07,95.64,23.81,88.71
1250,70,2,14.941250,204,12,192,995,51,5.88,95.12,19.05,83.82
1250,80,2,16.972208,79,10,69,1118,53,12.66,95.47,15.87,94.19
1250,90,2,21.033558,109,4,105,1082,59,3.67,94.83,6.35,91.15
1250,100,2,21.179603,138,11,127,1060,52,7.97,95.32,17.46,89.30
1250,10,3,1.583416,81,10,71,1116,53,12.35,95.47,15.87,94.02
1250,20,3,3.547484,289,20,269,918,43,6.92,95.53,31.75,77.34
1250,30,3,5.246398,199,15,184,1003,48,7.54,95.43,23.81,84.50
1250,40,3,6.889940,97,5,92,1095,58,5.15,94.97,7.94,92.25
1250,50,3,8.520739,103,9,94,1093,54,8.74,95.29,14.29,92.08
1250,60,3,10.206207,153,12,141,1046,51,7.84,95.35,19.05,88.12
1250,70,3,11.231126,104,10,94,1093,53,9.62,95.38,15.87,92.08
1250,80,3,12.947021,77,4,73,1114,59,5.19,94.97,6.35,93.85
1250,90,3,14.560293,112,5,107,1080,58,4.46,94.90,7.94,90.99
1250,100,3,17.351490,78,5,73,1114,58,6.41,95.05,7.94,93.85
1250,10,4,1.283794,153,24,129,1058,39,15.69,96.44,38.10,89.13
1250,20,4,2.559666,156,14,142,1045,49,8.97,95.52,22.22,88.04
1250,30,4,3.864943,143,12,131,1056,51,8.39,95.39,19.05,88.96
1250,40,4,5.397240,101,6,95,1092,57,5.94,95.04,9.52,92.00
1250,50,4,6.629551,237,14,223,964,49,5.91,95.16,22.22,81.21
1250,60,4,7.657093,187,15,172,1015,48,8.02,95.48,23.81,85.51
1250,70,4,9.039682,152,6,146,1041,57,3.95,94.81,9.52,87.70
1250,80,4,10.251085,110,7,103,1084,56,6.36,95.09,11.11,91.32
1250,90,4,12.723801,122,8,114,1073,55,6.56,95.12,12.70,90.40
1250,100,4,13.850470,93,6,87,1100,57,6.45,95.07,9.52,92.67
1250,10,5,1.160343,204,22,182,1005,41,10.78,96.08,34.92,84.67
1250,20,5,2.295067,208,23,185,1002,40,11.06,96.16,36.51,84.41
1250,30,5,3.466068,210,17,193,994,46,8.10,95.58,26.98,83.74
