samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
375,10,2,0.297977,49,5,44,312,14,10.20,95.71,26.32,87.64
375,20,2,0.252636,31,1,30,326,18,3.23,94.77,5.26,91.57
375,30,2,0.262270,27,0,27,329,19,0.00,94.54,0.00,92.42
375,40,2,0.257892,16,0,16,340,19,0.00,94.71,0.00,95.51
375,50,2,0.262758,11,0,11,345,19,0.00,94.78,0.00,96.91
375,10,3,0.249671,55,3,52,304,16,5.45,95.00,15.79,85.39
375,20,3,0.253196,33,3,30,326,16,9.09,95.32,15.79,91.57
375,30,3,0.260450,27,1,26,330,18,3.70,94.83,5.26,92.70
375,40,3,0.258294,9,0,9,347,19,0.00,94.81,0.00,97.47
375,50,3,0.261307,5,0,5,351,19,0.00,94.86,0.00,98.60
375,10,4,0.251385,59,2,57,299,17,3.39,94.62,10.53,83.99
375,20,4,0.252237,37,1,36,320,18,2.70,94.67,5.26,89.89
375,30,4,0.260077,29,1,28,328,18,3.45,94.80,5.26,92.13
375,40,4,0.260307,11,0,11,345,19,0.00,94.78,0.00,96.91
375,50,4,0.260758,9,0,9,347,19,0.00,94.81,0.00,97.47
375,10,5,0.251040,49,2,47,309,17,4.08,94.79,10.53,86.80
375,20,5,0.253687,25,2,23,333,17,8.00,95.14,10.53,93.54
375,30,5,0.256032,19,1,18,338,18,5.26,94.94,5.26,94.94
375,40,5,0.259119,12,0,12,344,19,0.00,94.77,0.00,96.63
375,50,5,0.266566,9,0,9,347,19,0.00,94.81,0.00,97.47
1250,10,2,0.287056,234,12,222,965,51,5.13,94.98,19.05,81.30
1250,20,2,0.294035,116,4,112,1075,59,3.45,94.80,6.35,90.56
1250,30,2,0.307196,56,4,52,1135,59,7.14,95.06,6.35,95.62
1250,40,2,0.319663,55,3,52,1135,60,5.45,94.98,4.76,95.62
1250,50,2,0.320821,37,1,36,1151,62,2.70,94.89,1.59,96.97
1250,60,2,0.327181,26,2,24,1163,61,7.69,95.02,3.17,97.98
1250,70,2,0.337950,18,2,16,1171,61,11.11,95.05,3.17,98.65
1250,80,2,0.347560,17,1,16,1171,62,5.88,94.97,1.59,98.65
1250,90,2,0.352681,14,0,14,1173,63,0.00,94.90,0.00,98.82
1250,100,2,0.364435,3,0,3,1184,63,0.00,94.95,0.00,99.75
1250,10,3,0.291732,186,14,172,1015,49,7.53,95.39,22.22,85.51
1250,20,3,0.295917,91,4,87,1100,59,4.40,94.91,6.35,92.67
1250,30,3,0.303416,84,5,79,1108,58,5.95,95.03,7.94,93.34
1250,40,3,0.318215,44,3,41,1146,60,6.82,95.02,4.76,96.55
1250,50,3,0.324351,37,3,34,1153,60,8.11,95.05,4.76,97.14
1250,60,3,0.328895,24,1,23,1164,62,4.17,94.94,1.59,98.06
1250,70,3,0.336657,9,1,8,1179,62,11.11,95.00,1.59,99.33
1250,80,3,0.343028,16,1,15,1172,62,6.25,94.98,1.59,98.74
1250,90,3,0.351533,14,1,13,1174,62,7.14,94.98,1.59,98.90
1250,100,3,0.364922,11,2,9,1178,61,18.18,95.08,3.17,99.24
1250,10,4,0.288349,195,8,187,1000,55,4.10,94.79,12.70,84.25
1250,20,4,0.296010,97,5,92,1095,58,5.15,94.97,7.94,92.25
1250,30,4,0.303357,72,4,68,1119,59,5.56,94.99,6.35,94.27
1250,40,4,0.316167,55,2,53,1134,61,3.64,94.90,3.17,95.53
1250,50,4,0.319694,26,1,25,1162,62,3.85,94.93,1.59,97.89
1250,60,4,0.328894,21,0,21,1166,63,0.00,94.87,0.00,98.23
1250,70,4,0.337597,18,2,16,1171,61,11.11,95.05,3.17,98.65
1250,80,4,0.348128,10,0,10,1177,63,0.00,94.92,0.00,99.16
1250,90,4,0.357470,6,0,6,1181,63,0.00,94.94,0.00,99.49
1250,100,4,0.361007,21,0,21,1166,63,0.00,94.87,0.00,98.23
1250,10,5,0.290473,190,9,181,1006,54,4.74,94.91,14.29,84.75
1250,20,5,0.300458,108,6,102,1085,57,5.56,95.01,9.52,91.41
1250,30,5,0.303213,61,7,54,1133,56,11.48,95.29,11.11,95.45
1250,40,5,0.311163,62,0,62,1125,63,0.00,94.70,0.00,94.78
1250,50,5,0.320034,35,2,33,1154,61,5.71,94.98,3.17,97.22
1250,60,5,0.333944,25,0,25,1162,63,0.00,94.86,0.00,97.89
1250,70,5,0.339843,16,0,16,1171,63,0.00,94.89,0.00,98.65
1250,80,5,0.344114,11,0,11,1176,63,0.00,94.92,0.00,99.07
1250,90,5,0.352171,9,0,9,1178,63,0.00,94.92,0.00,99.24
1250,100,5,0.359473,8,0,8,1179,63,0.00,94.93,0.00,99.33
1250,10,6,0.287681,185,9,176,1011,54,4.86,94.93,14.29,85.17
1250,20,6,0.294539,103,4,99,1088,59,3.88,94.86,6.35,91.66
1250,30,6,0.303655,62,4,58,1129,59,6.45,95.03,6.35,95.11
1250,40,6,0.318052,54,4,50,1137,59,7.41,95.07,6.35,95.79
1250,50,6,0.323821,40,3,37,1150,60,7.50,95.04,4.76,96.88
1250,60,6,0.328655,43,3,40,1147,60,6.98,95.03,4.76,96.63
1250,70,6,0.336715,20,2,18,1169,61,10.00,95.04,3.17,98.48
1250,80,6,0.344229,15,1,14,1173,62,6.67,94.98,1.59,98.82
1250,90,6,0.358366,11,3,8,1179,60,27.27,95.16,4.76,99.33
1250,100,6,0.364607,9,0,9,1178,63,0.00,94.92,0.00,99.24
1250,10,7,0.287206,165,10,155,1032,53,6.06,95.12,15.87,86.94
1250,20,7,0.315766,122,4,118,1069,59,3.28,94.77,6.35,90.06
1250,30,7,0.302705,70,3,67,1120,60,4.29,94.92,4.76,94.36
1250,40,7,0.316054,40,4,36,1151,59,10.00,95.12,6.35,96.97
1250,50,7,0.326361,30,1,29,1158,62,3.33,94.92,1.59,97.56
1250,60,7,0.326243,12,0,12,1175,63,0.00,94.91,0.00,98.99
1250,70,7,0.337123,21,1,20,1167,62,4.76,94.96,1.59,98.32
1250,80,7,0.346998,14,1,13,1174,62,7.14,94.98,1.59,98.90
1250,90,7,0.357995,5,1,4,1183,62,20.00,95.02,1.59,99.66
1250,100,7,0.365443,9,0,9,1178,63,0.00,94.92,0.00,99.24
3000,10,2,0.354279,542,26,516,2334,124,4.80,94.96,17.33,81.89
3000,20,2,0.374374,265,8,257,2593,142,3.02,94.81,5.33,90.98
3000,30,2,0.393829,189,10,179,2671,140,5.29,95.02,6.67,93.72
3000,40,2,0.413222,115,9,106,2744,141,7.83,95.11,6.00,96.28
3000,50,2,0.434630,77,5,72,2778,145,6.49,95.04,3.33,97.47
