samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
375,10,2,0.022594,30,3,27,329,16,10.00,95.36,15.79,92.42
375,20,2,0.034402,53,6,47,309,13,11.32,95.96,31.58,86.80
375,30,2,0.048453,53,4,49,307,15,7.55,95.34,21.05,86.24
375,40,2,0.064310,101,5,96,260,14,4.95,94.89,26.32,73.03
375,50,2,0.086934,129,4,125,231,15,3.10,93.90,21.05,64.89
375,10,3,0.017527,25,1,24,332,18,4.00,94.86,5.26,93.26
375,20,3,0.032770,53,3,50,306,16,5.66,95.03,15.79,85.96
375,30,3,0.052323,84,5,79,277,14,5.95,95.19,26.32,77.81
375,40,3,0.071269,99,0,99,257,19,0.00,93.12,0.00,72.19
375,50,3,0.082817,95,5,90,266,14,5.26,95.00,26.32,74.72
375,10,4,0.017748,38,1,37,319,18,2.63,94.66,5.26,89.61
375,20,4,0.039958,54,1,53,303,18,1.85,94.39,5.26,85.11
375,30,4,0.048419,66,4,62,294,15,6.06,95.15,21.05,82.58
375,40,4,0.063958,90,3,87,269,16,3.33,94.39,15.79,75.56
375,50,4,0.095939,119,4,115,241,15,3.36,94.14,21.05,67.70
375,10,5,0.017844,23,3,20,336,16,13.04,95.45,15.79,94.38
375,20,5,0.033228,52,0,52,304,19,0.00,94.12,0.00,85.39
375,30,5,0.060881,71,2,69,287,17,2.82,94.41,10.53,80.62
375,40,5,0.067351,108,4,104,252,15,3.70,94.38,21.05,70.79
375,50,5,0.086028,108,7,101,255,12,6.48,95.51,36.84,71.63
1250,10,2,0.026351,84,6,78,1109,57,7.14,95.11,9.52,93.43
1250,20,2,0.037787,177,14,163,1024,49,7.91,95.43,22.22,86.27
1250,30,2,0.050306,237,9,228,959,54,3.80,94.67,14.29,80.79
1250,40,2,0.071393,300,13,287,900,50,4.33,94.74,20.63,75.82
1250,50,2,0.090662,363,21,342,845,42,5.79,95.26,33.33,71.19
1250,60,2,0.099353,440,31,409,778,32,7.05,96.05,49.21,65.54
1250,70,2,0.119059,484,27,457,730,36,5.58,95.30,42.86,61.50
1250,80,2,0.136995,509,25,484,703,38,4.91,94.87,39.68,59.22
1250,90,2,0.164493,596,29,567,620,34,4.87,94.80,46.03,52.23
1250,100,2,0.163496,620,34,586,601,29,5.48,95.40,53.97,50.63
1250,10,3,0.018270,86,3,83,1104,60,3.49,94.85,4.76,93.01
1250,20,3,0.036717,184,11,173,1014,52,5.98,95.12,17.46,85.43
1250,30,3,0.053838,248,14,234,953,49,5.65,95.11,22.22,80.29
1250,40,3,0.065825,299,10,289,898,53,3.34,94.43,15.87,75.65
1250,50,3,0.089191,368,25,343,844,38,6.79,95.69,39.68,71.10
1250,60,3,0.099502,433,23,410,777,40,5.31,95.10,36.51,65.46
1250,70,3,0.121568,474,17,457,730,46,3.59,94.07,26.98,61.50
1250,80,3,0.129221,528,20,508,679,43,3.79,94.04,31.75,57.20
1250,90,3,0.146978,605,33,572,615,30,5.45,95.35,52.38,51.81
1250,100,3,0.184930,608,26,582,605,37,4.28,94.24,41.27,50.97
1250,10,4,0.019250,91,6,85,1102,57,6.59,95.08,9.52,92.84
1250,20,4,0.034023,179,9,170,1017,54,5.03,94.96,14.29,85.68
1250,30,4,0.052804,271,15,256,931,48,5.54,95.10,23.81,78.43
1250,40,4,0.071843,305,13,292,895,50,4.26,94.71,20.63,75.40
