samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
375,10,2,0.011475,11,3,8,348,16,27.27,95.60,15.79,97.75
375,20,2,0.006371,12,1,11,345,18,8.33,95.04,5.26,96.91
375,30,2,0.006549,12,0,12,344,19,0.00,94.77,0.00,96.63
375,40,2,0.006943,15,1,14,342,18,6.67,95.00,5.26,96.07
375,50,2,0.007061,12,1,11,345,18,8.33,95.04,5.26,96.91
375,10,3,0.006041,13,1,12,344,18,7.69,95.03,5.26,96.63
375,20,3,0.006287,15,3,12,344,16,20.00,95.56,15.79,96.63
375,30,3,0.006620,11,0,11,345,19,0.00,94.78,0.00,96.91
375,40,3,0.006938,15,0,15,341,19,0.00,94.72,0.00,95.79
375,50,3,0.006981,15,0,15,341,19,0.00,94.72,0.00,95.79
375,10,4,0.006040,11,1,10,346,18,9.09,95.05,5.26,97.19
375,20,4,0.006508,13,1,12,344,18,7.69,95.03,5.26,96.63
375,30,4,0.006696,10,1,9,347,18,10.00,95.07,5.26,97.47
375,40,4,0.006877,14,0,14,342,19,0.00,94.74,0.00,96.07
375,50,4,0.007026,10,0,10,346,19,0.00,94.79,0.00,97.19
375,10,5,0.005970,8,0,8,348,19,0.00,94.82,0.00,97.75
375,20,5,0.006325,14,0,14,342,19,0.00,94.74,0.00,96.07
375,30,5,0.007105,10,0,10,346,19,0.00,94.79,0.00,97.19
375,40,5,0.006927,13,0,13,343,19,0.00,94.75,0.00,96.35
375,50,5,0.007219,9,1,8,348,18,11.11,95.08,5.26,97.75
375,10,2,0.005930,11,3,8,348,16,27.27,95.60,15.79,97.75
375,20,2,0.006248,12,1,11,345,18,8.33,95.04,5.26,96.91
375,30,2,0.006467,12,0,12,344,19,0.00,94.77,0.00,96.63
375,40,2,0.006896,15,1,14,342,18,6.67,95.00,5.26,96.07
375,50,2,0.009577,12,1,11,345,18,8.33,95.04,5.26,96.91
375,10,3,0.006787,13,1,12,344,18,7.69,95.03,5.26,96.63
375,20,3,0.007500,15,3,12,344,16,20.00,95.56,15.79,96.63
375,30,3,0.008724,11,0,11,345,19,0.00,94.78,0.00,96.91
375,40,3,0.007938,15,0,15,341,19,0.00,94.72,0.00,95.79
375,50,3,0.008234,15,0,15,341,19,0.00,94.72,0.00,95.79
375,10,4,0.007532,11,1,10,346,18,9.09,95.05,5.26,97.19
375,20,4,0.006552,13,1,12,344,18,7.69,95.03,5.26,96.63
375,30,4,0.006633,10,1,9,347,18,10.00,95.07,5.26,97.47
375,40,4,0.006764,14,0,14,342,19,0.00,94.74,0.00,96.07
375,50,4,0.007003,10,0,10,346,19,0.00,94.79,0.00,97.19
375,10,5,0.005936,8,0,8,348,19,0.00,94.82,0.00,97.75
375,20,5,0.006167,14,0,14,342,19,0.00,94.74,0.00,96.07
375,30,5,0.007589,10,0,10,346,19,0.00,94.79,0.00,97.19
375,40,5,0.008780,13,0,13,343,19,0.00,94.75,0.00,96.35
375,50,5,0.008103,9,1,8,348,18,11.11,95.08,5.26,97.75
1250,10,2,0.014015,40,1,39,1148,62,2.50,94.88,1.59,96.71
1250,20,2,0.015553,30,2,28,1159,61,6.67,95.00,3.17,97.64
1250,30,2,0.017826,36,3,33,1154,60,8.33,95.06,4.76,97.22
1250,40,2,0.020243,38,2,36,1151,61,5.26,94.97,3.17,96.97
1250,50,2,0.021661,40,0,40,1147,63,0.00,94.79,0.00,96.63
1250,60,2,0.025276,42,1,41,1146,62,2.38,94.87,1.59,96.55
1250,70,2,0.027535,41,2,39,1148,61,4.88,94.95,3.17,96.71
1250,80,2,0.029813,39,0,39,1148,63,0.00,94.80,0.00,96.71
1250,90,2,0.030093,40,0,40,1147,63,0.00,94.79,0.00,96.63
1250,100,2,0.033661,37,1,36,1151,62,2.70,94.89,1.59,96.97
1250,10,3,0.013843,40,3,37,1150,60,7.50,95.04,4.76,96.88
1250,20,3,0.016146,34,1,33,1154,62,2.94,94.90,1.59,97.22
1250,30,3,0.017647,41,3,38,1149,60,7.32,95.04,4.76,96.80
1250,40,3,0.019789,37,2,35,1152,61,5.41,94.97,3.17,97.05
1250,50,3,0.022493,39,5,34,1153,58,12.82,95.21,7.94,97.14
1250,60,3,0.024847,37,0,37,1150,63,0.00,94.81,0.00,96.88
1250,70,3,0.028199,38,3,35,1152,60,7.89,95.05,4.76,97.05
1250,80,3,0.029317,37,0,37,1150,63,0.00,94.81,0.00,96.88
1250,90,3,0.031877,33,3,30,1157,60,9.09,95.07,4.76,97.47
1250,100,3,0.034446,38,4,34,1153,59,10.53,95.13,6.35,97.14
1250,10,4,0.013687,37,3,34,1153,60,8.11,95.05,4.76,97.14
1250,20,4,0.015894,37,3,34,1153,60,8.11,95.05,4.76,97.14
1250,30,4,0.017862,35,1,34,1153,62,2.86,94.90,1.59,97.14
1250,40,4,0.020439,38,0,38,1149,63,0.00,94.80,0.00,96.80
1250,50,4,0.021730,38,3,35,1152,60,7.89,95.05,4.76,97.05
1250,60,4,0.024877,37,1,36,1151,62,2.70,94.89,1.59,96.97
1250,70,4,0.027151,40,4,36,1151,59,10.00,95.12,6.35,96.97
1250,80,4,0.029311,36,0,36,1151,63,0.00,94.81,0.00,96.97
1250,90,4,0.032973,37,1,36,1151,62,2.70,94.89,1.59,96.97
1250,100,4,0.036708,39,1,38,1149,62,2.56,94.88,1.59,96.80
1250,10,5,0.013705,30,0,30,1157,63,0.00,94.84,0.00,97.47
1250,20,5,0.016366,41,1,40,1147,62,2.44,94.87,1.59,96.63
1250,30,5,0.017967,40,3,37,1150,60,7.50,95.04,4.76,96.88
1250,40,5,0.019482,38,2,36,1151,61,5.26,94.97,3.17,96.97
1250,50,5,0.021459,39,2,37,1150,61,5.13,94.96,3.17,96.88
1250,60,5,0.024949,37,2,35,1152,61,5.41,94.97,3.17,97.05
1250,70,5,0.027564,40,1,39,1148,62,2.50,94.88,1.59,96.71
1250,80,5,0.030992,35,1,34,1153,62,2.86,94.90,1.59,97.14
1250,90,5,0.033448,37,3,34,1153,60,8.11,95.05,4.76,97.14
1250,100,5,0.034681,38,1,37,1150,62,2.63,94.88,1.59,96.88
1250,10,6,0.014174,33,1,32,1155,62,3.03,94.91,1.59,97.30
1250,20,6,0.015657,38,2,36,1151,61,5.26,94.97,3.17,96.97
1250,30,6,0.018019,38,2,36,1151,61,5.26,94.97,3.17,96.97
1250,40,6,0.019789,39,3,36,1151,60,7.69,95.05,4.76,96.97
1250,50,6,0.022463,34,0,34,1153,63,0.00,94.82,0.00,97.14
1250,60,6,0.025962,37,5,32,1155,58,13.51,95.22,7.94,97.30
1250,70,6,0.029011,35,2,33,1154,61,5.71,94.98,3.17,97.22
1250,80,6,0.028893,44,3,41,1146,60,6.82,95.02,4.76,96.55
1250,90,6,0.031547,42,4,38,1149,59,9.52,95.12,6.35,96.80
1250,100,6,0.033769,36,1,35,1152,62,2.78,94.89,1.59,97.05
1250,10,7,0.013886,42,3,39,1148,60,7.14,95.03,4.76,96.71
1250,20,7,0.015606,39,1,38,1149,62,2.56,94.88,1.59,96.80
1250,30,7,0.018173,39,0,39,1148,63,0.00,94.80,0.00,96.71
1250,40,7,0.019768,39,2,37,1150,61,5.13,94.96,3.17,96.88
